gene_symbol,lr_coef,lr_abs
HHIP-AS1,-0.0071112975,0.0071112975
RP4-800J21.3,-0.007112863,0.007112863
TSEN15,-0.0071139336,0.0071139336
RP11-432J24.3,-0.0071144127,0.0071144127
DEFB1,-0.0071161366,0.0071161366
GS1-120K12.4,-0.007117409,0.007117409
IGKV1-39,-0.007117909,0.007117909
COPS2,-0.0071192575,0.0071192575
RP11-109A6.3,-0.0071202978,0.0071202978
ZNF667,-0.0071211834,0.0071211834
RP11-439C15.4,-0.007122361,0.007122361
IGHV3-7,-0.0071229623,0.0071229623
HCFC2,-0.0071229828,0.0071229828
ADAD1,-0.0071232505,0.0071232505
RP11-429J17.5,-0.0071243327,0.0071243327
TRAV3,-0.007124616,0.007124616
C8orf34,-0.00712487,0.00712487
RP11-547D23.1,-0.007126889,0.007126889
ATP5I,-0.00712803,0.00712803
RP11-631N16.4,-0.0071290466,0.0071290466
OTOA,-0.007130041,0.007130041
AC116614.1,-0.0071303323,0.0071303323
CCS,-0.007132017,0.007132017
TCL1A,-0.007133064,0.007133064
SPATA12,-0.0071332767,0.0071332767
HSPA9,-0.00713332,0.00713332
RP11-17A19.2,-0.007133432,0.007133432
OR13C3,-0.0071339253,0.0071339253
MOGAT3,-0.0071357554,0.0071357554
RP11-347H15.4,-0.0071361884,0.0071361884
ANKHD1,-0.00713867,0.00713867
TMEM184C,-0.007139086,0.007139086
ZNF593,-0.0071402523,0.0071402523
SSTR4,-0.007141472,0.007141472
FABP6,-0.007141792,0.007141792
EPHB6,-0.0071421023,0.0071421023
BARX1-AS1,-0.0071424665,0.0071424665
RP4-791M13.3,-0.0071458407,0.0071458407
KXD1,-0.0071465233,0.0071465233
GZMK,-0.007149884,0.007149884
PTEN,-0.007150522,0.007150522
ASCL1,-0.00715129,0.00715129
RP11-115D19.3,-0.007152398,0.007152398
CACNB4,-0.007152668,0.007152668
ZNF786,-0.007153351,0.007153351
ZNF565,-0.007156049,0.007156049
WIPF2,-0.007157684,0.007157684
NOP58,-0.0071611092,0.0071611092
CD207,-0.0071635544,0.0071635544
RP11-437B10.1,-0.0071661524,0.0071661524
DIAPH3-AS1,-0.0071665817,0.0071665817
MEGF8,-0.007169926,0.007169926
PEX12,-0.0071709184,0.0071709184
NUP205,-0.007175426,0.007175426
COL26A1,-0.0071789566,0.0071789566
RP11-2E11.6,-0.0071853986,0.0071853986
THRAP3,-0.0071855094,0.0071855094
IL1RL1,-0.0071869045,0.0071869045
AHRR,-0.007188581,0.007188581
SEPT8,-0.007190607,0.007190607
GS1-124K5.3,-0.0071913227,0.0071913227
RP13-991F5.2,-0.0071915607,0.0071915607
SLC12A3,-0.0071919975,0.0071919975
LRTM1,-0.0071934448,0.0071934448
RP11-474I16.8,-0.007196965,0.007196965
GCLC,-0.007197182,0.007197182
RP11-701P16.2,-0.0071989703,0.0071989703
RP11-380B4.3,-0.007199218,0.007199218
RMDN1,-0.0071999226,0.0071999226
RP5-1021I20.1,-0.0072002937,0.0072002937
SMIM4,-0.007203661,0.007203661
RP13-465B17.5,-0.0072062803,0.0072062803
IRF2,-0.007206612,0.007206612
RP11-244F12.3,-0.007206773,0.007206773
CD274,-0.0072077382,0.0072077382
RP11-428K3.1,-0.0072081033,0.0072081033
PARP12,-0.0072094835,0.0072094835
PINK1,-0.0072140936,0.0072140936
NR2C1,-0.0072144126,0.0072144126
SNRK,-0.0072147315,0.0072147315
CEP55,-0.007215539,0.007215539
MAGEA2B,-0.0072161704,0.0072161704
RP11-384O8.1,-0.0072168047,0.0072168047
NSRP1,-0.007216832,0.007216832
RBP1,-0.0072182543,0.0072182543
RBM41,-0.0072194347,0.0072194347
PSTPIP1,-0.007221931,0.007221931
NME2,-0.0072227223,0.0072227223
KRT13,-0.0072240727,0.0072240727
RP11-428C19.4,-0.0072244713,0.0072244713
TPPP,-0.007225169,0.007225169
CTD-2006H14.2,-0.0072267186,0.0072267186
AC137932.6,-0.0072277407,0.0072277407
THCAT158,-0.007230647,0.007230647
NUDT8,-0.0072324094,0.0072324094
RP11-76I23.7,-0.0072338665,0.0072338665
LINC01524,-0.0072348695,0.0072348695
FAM3D-AS1,-0.0072364025,0.0072364025
DDAH2,-0.007239518,0.007239518
RP11-278A23.1,-0.007239702,0.007239702
HOXD11,-0.0072399024,0.0072399024
RP11-69A21.2,-0.007240984,0.007240984
NPIPB11,-0.0072424337,0.0072424337
CTC-332L22.1,-0.0072451443,0.0072451443
RP11-302L19.1,-0.0072455797,0.0072455797
R3HCC1,-0.0072463145,0.0072463145
UBE2F-SCLY,-0.007250125,0.007250125
ETFB,-0.0072507593,0.0072507593
SEPT12,-0.0072510843,0.0072510843
AC087491.2,-0.007251088,0.007251088
RP11-169K16.4,-0.00725122,0.00725122
PMEL,-0.007251444,0.007251444
CENPB,-0.0072519598,0.0072519598
CTC-459F4.3,-0.0072577097,0.0072577097
RASAL3,-0.007257862,0.007257862
IDE,-0.007258805,0.007258805
MKRN2OS,-0.0072610043,0.0072610043
LA16c-358B7.3,-0.007263723,0.007263723
GRK1,-0.007264064,0.007264064
CD40LG,-0.0072647557,0.0072647557
AC116609.1,-0.007265897,0.007265897
RP11-178C3.1,-0.007265897,0.007265897
EMD,-0.007266556,0.007266556
NUP58,-0.007266683,0.007266683
MON1B,-0.0072678127,0.0072678127
AC002398.11,-0.0072689606,0.0072689606
RP11-1H15.2,-0.0072690793,0.0072690793
NEURL1,-0.0072721727,0.0072721727
RP11-95M15.1,-0.0072724493,0.0072724493
RRBP1,-0.00727254,0.00727254
DAAM2,-0.0072734114,0.0072734114
NADK,-0.007276547,0.007276547
RP3-483K16.4,-0.0072770496,0.0072770496
RP11-697E2.6,-0.007279521,0.007279521
AC020743.2,-0.0072804755,0.0072804755
DPY30,-0.007281248,0.007281248
RP11-307C18.1,-0.007283657,0.007283657
LRRC38,-0.007286228,0.007286228
ARL5A,-0.0072872173,0.0072872173
CCDC113,-0.00728752,0.00728752
SPATA42,-0.0072880266,0.0072880266
DET1,-0.0072887703,0.0072887703
CINP,-0.0072915945,0.0072915945
PCAT2,-0.0072920183,0.0072920183
NAGK,-0.0072931936,0.0072931936
FGF23,-0.007295337,0.007295337
LATS1,-0.007295339,0.007295339
RP11-730K11.1,-0.007298008,0.007298008
RNU6ATAC35P,-0.0073017045,0.0073017045
RP11-186N15.3,-0.0073019974,0.0073019974
C17orf49,-0.0073028677,0.0073028677
ASTL,-0.0073029003,0.0073029003
CCDC103,-0.0073047844,0.0073047844
APELA,-0.007305751,0.007305751
RP11-168F9.2,-0.0073067932,0.0073067932
PCBD1,-0.007309405,0.007309405
FBXO42,-0.007309728,0.007309728
GINS3,-0.007311667,0.007311667
RP11-151A6.6,-0.007318392,0.007318392
LCTL,-0.0073184147,0.0073184147
IGLV7-43,-0.0073187486,0.0073187486
INSM2,-0.007319173,0.007319173
CCNI2,-0.0073194248,0.0073194248
PDP2,-0.007319629,0.007319629
LINC00582,-0.0073198294,0.0073198294
RP5-1116H23.4,-0.0073198294,0.0073198294
RP11-605B16.1,-0.007322983,0.007322983
TMPRSS7,-0.007323146,0.007323146
FAM78A,-0.0073243114,0.0073243114
ADSS,-0.007326237,0.007326237
MSANTD2,-0.0073270244,0.0073270244
NFYA,-0.0073270835,0.0073270835
MSMB,-0.0073275887,0.0073275887
RP11-1079K10.2,-0.0073276157,0.0073276157
RP11-320P7.2,-0.007330302,0.007330302
POLR3K,-0.0073312945,0.0073312945
VSNL1,-0.0073319613,0.0073319613
RP11-398C13.6,-0.007333814,0.007333814
AC009784.3,-0.0073364004,0.0073364004
TNFRSF8,-0.007339097,0.007339097
RP11-115C21.2,-0.007340024,0.007340024
ZNF202,-0.0073437775,0.0073437775
PPHLN1,-0.00734461,0.00734461
BCYRN1,-0.0073447246,0.0073447246
TP53I11,-0.007345969,0.007345969
ZNF671,-0.0073461765,0.0073461765
HMCES,-0.0073464583,0.0073464583
FAM168A,-0.007348543,0.007348543
NADSYN1,-0.0073485565,0.0073485565
PCF11-AS1,-0.0073491964,0.0073491964
MLF2,-0.007351336,0.007351336
SLC12A5,-0.007351889,0.007351889
PI4KB,-0.007352227,0.007352227
RP11-130C6.1,-0.0073536574,0.0073536574
RP11-410D17.2,-0.007355783,0.007355783
AC007880.1,-0.0073581506,0.0073581506
ADAR,-0.007360085,0.007360085
FAM25G,-0.007360403,0.007360403
MAPKAPK2,-0.0073624016,0.0073624016
SMC2,-0.007363164,0.007363164
RP3-406A7.7,-0.0073637776,0.0073637776
RP11-11H9.2,-0.0073695797,0.0073695797
PTGES3,-0.007370102,0.007370102
ZBTB20-AS4,-0.0073701655,0.0073701655
NHLRC2,-0.0073724138,0.0073724138
TPH2,-0.0073730852,0.0073730852
RP11-1143G9.5,-0.0073732706,0.0073732706
CADM4,-0.007374972,0.007374972
ST20-MTHFS,-0.0073752375,0.0073752375
PRMT6,-0.0073753167,0.0073753167
SPNS3,-0.0073773456,0.0073773456
KIAA1161,-0.00737937,0.00737937
FOXL2,-0.007386201,0.007386201
TSTD3,-0.007387501,0.007387501
LHFPL5,-0.0073901988,0.0073901988
ADCK4,-0.0073906984,0.0073906984
CTD-2619J13.27,-0.0073910593,0.0073910593
CLHC1,-0.0073932307,0.0073932307
KTI12,-0.00739387,0.00739387
RP11-350J20.5,-0.007394157,0.007394157
FUZ,-0.007397134,0.007397134
CA12,-0.0073992163,0.0073992163
BOK,-0.0073993844,0.0073993844
COX8C,-0.0074036205,0.0074036205
RP11-256L6.2,-0.0074052904,0.0074052904
RP11-263K19.6,-0.0074065104,0.0074065104
TCF3,-0.0074074706,0.0074074706
PDZD11,-0.007408223,0.007408223
PRDM8,-0.0074105076,0.0074105076
POLR1A,-0.007410832,0.007410832
NRAV,-0.00741354,0.00741354
RP11-611O2.5,-0.007419189,0.007419189
LGALS8-AS1,-0.0074205,0.0074205
GLRA3,-0.007421658,0.007421658
OTUD6B,-0.0074218693,0.0074218693
FAM160A2,-0.00742317,0.00742317
TH,-0.0074247206,0.0074247206
RPL17-C18orf32,-0.0074256863,0.0074256863
CTD-3065B20.2,-0.0074260496,0.0074260496
C1RL-AS1,-0.007427599,0.007427599
LAMTOR3,-0.007428301,0.007428301
SYTL5,-0.007432594,0.007432594
AC093702.1,-0.0074358354,0.0074358354
