endpoint,signature,HR,CI_lo,CI_hi,p,sig,n
Relapse-Free Survival,Consensus_16,1.0306662248440048,0.9571419177116108,1.109838413068289,0.42375535599886793,ns,1970
Relapse-Free Survival,Stage1_DE_top50,0.9982420454848052,0.9237932842610906,1.0786906533648841,0.964511218817619,ns,1970
Relapse-Free Survival,Stage2_Geneformer_top50,1.0737673130711118,0.9897884319525635,1.1648714062514045,0.08672405016066574,ns,1970
Overall Survival,Consensus_16,1.0608319208619004,1.000449454505973,1.1248587914671413,0.04826902925019889,*,1973
Overall Survival,Stage1_DE_top50,1.0243928147924326,0.9635197222997494,1.0891117376338484,0.4406880197929747,ns,1973
Overall Survival,Stage2_Geneformer_top50,1.057688407680326,0.9884544278886512,1.1317717197452473,0.10442716541788924,ns,1973
