PATIENT_ID,Consensus_16,Stage1_DE_top50,Stage2_Geneformer_top50
MB-0000,0.8617856294450541,0.9881458192524613,0.40532374287437717
MB-0002,0.7425893931837023,0.8466804261358124,0.20217870139431268
MB-0005,0.8219902522674697,0.9155042497501436,0.28437973929824345
MB-0006,0.7694009362701413,0.9061524148711393,0.26184551862569233
MB-0008,0.8095126377723192,0.878002959808487,0.2680835295947094
MB-0010,0.8207373069932387,0.8971238268637738,0.25869825137309527
MB-0014,0.7792308663021174,0.8942482127340619,0.26874485943827603
MB-0020,0.8379762371252859,0.9112585900979455,0.32282000058883215
MB-0022,0.7694884391166459,0.9262501701986489,0.23930818758754396
MB-0028,0.7039675701459173,0.7888055704760835,0.17945357764830808
MB-0035,0.761539936578598,0.7649919301358191,0.21871937780637846
MB-0036,0.7913062228764586,0.8887496708510194,0.238599392386731
MB-0039,0.6006160844659223,0.7451320035817098,0.15778630294318793
MB-0045,0.8805647799713372,0.959160453317688,0.29070526770406624
MB-0046,0.749298413998286,0.8584685326420497,0.2683558787747198
MB-0048,0.7854716928417399,0.9468554634454486,0.2231382145730794
MB-0050,0.8315676488048619,0.9325480289811054,0.37878584547980265
MB-0053,0.7616199313318023,0.8903627743073633,0.24286559732217086
MB-0054,0.7940870588428703,0.9189939844197713,0.2742031451589628
MB-0056,0.7526435250373641,0.8538348993769048,0.2551271594116935
MB-0059,0.816348777411817,0.8786906039400344,0.275826490333134
MB-0060,0.7533948677047961,0.8338366482046201,0.19261149175593031
MB-0062,0.8229214975504265,0.982419720721371,0.24006004511260012
MB-0064,0.7436630719082917,0.8779885196645155,0.15702279518884185
MB-0066,0.7995715721100877,0.8390303193547975,0.20649285881209972
MB-0068,0.7778947564170766,0.9094249873210593,0.26046441534373155
MB-0071,0.7834991771997786,0.879500226283875,0.2619059684433089
MB-0079,0.7801332855790593,0.9131735282894378,0.257107116543998
MB-0081,0.8041601957160904,0.9316201219173282,0.20985940431259964
MB-0083,0.7807575593156787,0.9004206071658506,0.23092976850762847
MB-0093,0.8020337380474822,0.8960752407445123,0.2359661219527051
MB-0095,0.7084776371813241,0.7814548648244144,0.1773868459543058
MB-0097,0.7332307997502613,0.807591755461371,0.23957681215378981
MB-0099,0.7666755922533999,0.9292925848748932,0.2754967192981976
MB-0100,0.8328879209263027,0.9072871039177272,0.3684048626368897
MB-0101,0.8011611519575507,0.9001633213953562,0.28532387142669463
MB-0102,0.8152891421040845,0.867902578622515,0.2632820245702059
MB-0106,0.8247827863579655,0.9008104192631974,0.24955564436909877
MB-0107,0.7920095556797047,0.8754848633520306,0.2116638183015144
MB-0108,0.7576662055123017,0.8833701664698936,0.2148035036194277
MB-0109,0.7928964862601202,0.8095803460832768,0.2719003775446736
MB-0110,0.7308968822474554,0.924503898997764,0.2422995412213958
MB-0111,0.8004187785262448,0.9149762641332035,0.26315413689177763
MB-0112,0.79763633667717,0.884805845719245,0.25641856084516634
MB-0113,0.7957237555824973,0.8919082565222768,0.23590673749446028
MB-0114,0.8196507801246234,0.8715996884602175,0.25929883599166537
MB-0115,0.8374197098164989,0.9603783855695275,0.3512755886459228
MB-0116,0.8130428761784595,0.9301575900300736,0.2995488652515612
MB-0117,0.776498578808582,0.910263508933507,0.2781840108788143
MB-0119,0.722288059793257,0.8091563933708261,0.12172767980937628
MB-0120,0.8096534841502759,0.9048567404952726,0.23040409346282759
MB-0121,0.8553510294210771,0.896243389348686,0.24096507997802802
MB-0122,0.7920454360226991,0.8759244476989629,0.24736606503790948
MB-0123,0.7751775724834119,0.8942614681570719,0.26987778730046735
MB-0124,0.7728986376508951,0.9058555215182968,0.23785818207465917
MB-0125,0.7586609530901142,0.7750455930782959,0.2245874782816855
MB-0126,0.8093774226636046,0.8912197733792375,0.29105019612251554
MB-0127,0.8699976739457819,0.9092806334700932,0.26580459757563585
MB-0128,0.8190765723216419,0.9445505209988028,0.25073062980688704
MB-0129,0.8831663276844389,0.9341301130234307,0.33420827255671365
MB-0130,0.7924366522475758,0.9126455288491503,0.2302629724199254
MB-0131,0.8298316642589666,0.8272429958467431,0.19434362334399588
MB-0133,0.8018314302366264,0.8680671746521127,0.242829315974848
MB-0134,0.7821213240968169,0.8683661143136973,0.23111902779147006
MB-0135,0.8180019676888248,0.8747305913429018,0.2642928584015478
MB-0136,0.7955953717151214,0.92266970348049,0.26717037193020954
MB-0138,0.8082169769125934,0.8843229395210719,0.23067680081204894
MB-0139,0.8230187804363263,0.9300682668568095,0.3328239952570676
MB-0140,0.826036341990006,0.8548636638123506,0.2944625356492931
MB-0142,0.7115990638962268,0.752960154634514,0.21100274741994768
MB-0143,0.8257838222348863,0.8716076850403701,0.2432156030612993
MB-0144,0.8197845198817806,0.8790350927744821,0.27629340522761836
MB-0145,0.8534245109869204,0.9087103035456929,0.3200774366032802
MB-0146,0.7302091678515071,0.7834584969046449,0.1865190322819704
MB-0147,0.7154318254050503,0.7098719833725445,0.23598417871581573
MB-0148,0.8524711584149496,0.9056175097795027,0.30718121675091664
MB-0149,0.775568269847661,0.8797526939636929,0.42204969710538526
MB-0150,0.8515803154926835,0.9487484049522404,0.35015440750539584
MB-0151,0.7582835432649828,0.8443461910029368,0.22779679532910832
MB-0152,0.8133454795820547,0.8746651609366409,0.23554824271988328
MB-0153,0.7334169180432378,0.9073224024899422,0.18984782071489564
MB-0154,0.8378819769436306,0.9032589759624021,0.26144528907226006
MB-0155,0.8436276725049356,0.9579628949020524,0.25451957532886565
MB-0156,0.8843412557027299,0.9724774011470331,0.37717756637213645
MB-0157,0.8542704067770197,0.9459984308956073,0.28924289954865734
MB-0158,0.8677833243505718,0.9135490814432592,0.3015873973282638
MB-0159,0.8598557752272774,0.9247572658738511,0.269231356584825
MB-0160,0.8332393971565222,0.9318616593701858,0.3486139204710711
MB-0162,0.7985361417992725,0.8893842862963461,0.26921216509497825
MB-0163,0.7644614990377768,0.9473460802257899,0.3591397014212976
MB-0164,0.8487784869152551,0.9648364453098884,0.3342580278625973
MB-0165,0.7739851470072323,0.8659547199437226,0.24365967176023462
MB-0166,0.7692508420194285,0.8923306106658453,0.2436948491394251
MB-0167,0.7632513878001584,0.8368242353158809,0.16033530297804047
MB-0168,0.8683791224979963,0.9321152823921005,0.2660048441539807
MB-0169,0.8718553729888137,0.9459045841387914,0.34948515260236696
MB-0170,0.8483291788381242,0.9066473551287912,0.22889893998228472
MB-0171,0.8403112856137446,0.9259207698476284,0.3456120437977095
MB-0172,0.8206008992812219,0.8966088099470558,0.2906585448300871
MB-0173,0.6354338175066059,0.768959866021204,0.1660384556221355
MB-0174,0.8461107453836092,0.9441916232693056,0.3412443956148861
MB-0175,0.7361848081041773,0.8256400053149283,0.1905754330964566
MB-0176,0.8301947315360761,0.9145938270939331,0.3185555307873098
MB-0177,0.8687326248891559,0.9111138786135251,0.26602770048980007
MB-0178,0.7942192120627027,0.8523682840851988,0.29966464854602454
MB-0179,0.8817083975076815,0.9708409442163725,0.2757952133172046
MB-0180,0.7469437229967866,0.818918756946605,0.16689268747975136
MB-0181,0.8298754564172434,0.8992063595899793,0.3149144328213916
MB-0184,0.6709222019404283,0.8337654881333921,0.13894111556820077
MB-0185,0.8117922718326085,0.882444578927424,0.27105801332392493
MB-0188,0.7718339462994502,0.8774647092547975,0.2182969067789519
MB-0189,0.8720638503309655,0.9458936059976822,0.25666742880970084
MB-0191,0.8415260920004408,0.9446053116278692,0.31050445037209046
MB-0192,0.8197183353806615,0.9388235758101371,0.21782206589247366
MB-0193,0.8082995725104225,0.8626430643647538,0.26205674251948446
MB-0194,0.8294625674647944,0.9193926235049524,0.2574851442976652
MB-0195,0.7013620283335903,0.740113771041474,0.24702141170367553
MB-0197,0.8169300933522445,0.8856988115690438,0.24145509004844576
MB-0198,0.7945776919236771,0.910095944052522,0.2726970326652296
MB-0199,0.791302771364951,0.8887265562801867,0.25214819938157174
MB-0200,0.7995571458048485,0.8903502943003853,0.2847373208327469
MB-0201,0.846022871523301,0.9493917469348272,0.3211543283083228
MB-0202,0.7524134513633429,0.847252284586181,0.20047306675745477
MB-0203,0.8289466149491932,0.9363491155061073,0.2620236861723845
MB-0204,0.8483324658159783,0.9364982469860605,0.3196735681284422
MB-0205,0.8672565190198158,0.95423687592281,0.33188284836042514
MB-0206,0.8777257981045631,0.9448332204292136,0.3422404808718205
MB-0207,0.7702824975866128,0.8983763832922321,0.18662538334287504
MB-0209,0.8188792942734864,0.9563206179126699,0.276962357519766
MB-0210,0.734462118058747,0.919533408787747,0.14035850292725646
MB-0211,0.8001765752747048,0.9213046239606292,0.24692806134129336
MB-0214,0.7874549070256616,0.9199183531004949,0.3152315123571319
MB-0215,0.8423329247947896,0.9173059394651587,0.26590528799711255
MB-0218,0.736976275974251,0.8505755429757511,0.21047716457706667
MB-0220,0.8312716919801587,0.9431946613587578,0.23000146122571724
MB-0221,0.7417187274780972,0.8659875868662748,0.2637967754655182
MB-0222,0.8143379350550946,0.9316179880761112,0.24853911039996646
MB-0223,0.7762272276741069,0.8824790155329771,0.23675419087543234
MB-0224,0.8227189388176849,0.9175984551790293,0.24795104407374038
MB-0225,0.6745627154943044,0.7602828556296714,0.21109412306495123
MB-0226,0.8073026475468268,0.8767677963367201,0.29255220700515144
MB-0227,0.812608371818348,0.9213022319287307,0.26516777997464386
MB-0228,0.8544434988874237,0.9279561934328516,0.3787918945179126
MB-0229,0.8073066077165016,0.8555746932740548,0.24293926541403113
MB-0230,0.7839736726031068,0.8608874934344508,0.33558010474966404
MB-0231,0.7867688939729811,0.8806071258692446,0.2422651132015426
