gene,spearman_r,pval
GXYLT2,0.06595602089041568,5.041417896979445e-25
CA3,0.06601963555826333,4.542600737088783e-25
ACY3,0.06611162074130286,3.906613916681324e-25
NPW,0.06611960013623358,3.855795412727696e-25
DNAAF1,0.06618318619302979,3.473562508446581e-25
CD14,0.06630294193052426,2.8527797218769507e-25
CYB5R2,0.06726314860303476,5.809392665550101e-26
IGLV2-11,0.06739616422248043,4.651700366294984e-26
KRT15,0.06754606421327122,3.619215111128649e-26
SLC35F3,0.06772862240971333,2.664070708956803e-26
HBB,0.06789342851877288,2.018881088718902e-26
LINC01510,0.06809682631318283,1.4324311215330283e-26
GPNMB,0.06852842690730158,6.892212269285992e-27
HEPACAM2,0.068559550019952,6.536885756330278e-27
KRT23,0.06869389321255367,5.2002612761308604e-27
VCAM1,0.06897556960592041,3.2144066683650854e-27
PDGFA,0.06907881326460268,2.6934601985162467e-27
KCNC2,0.06936795294611436,1.6392607483431793e-27
SERPINB2,0.06961619074439711,1.0685119424945582e-27
CLDN4,0.06966249333982141,9.8636397960113e-28
IGLV8-61,0.06977724352697648,8.087939548179439e-28
FGFBP1,0.06987954023056706,6.774459931445712e-28
FJX1,0.06989496216577919,6.595720178531288e-28
IGLV6-57,0.0700536644215243,5.0074217460946134e-28
FERMT1,0.07006454192347816,4.913642784375813e-28
CD207,0.07007492099051199,4.825785778238934e-28
GZMB,0.07017386064244975,4.062720328924497e-28
MXRA5,0.07062817134458545,1.8375075778650169e-28
C3,0.07064685757746018,1.77831453967548e-28
TYROBP,0.07097534449998574,9.986499059047428e-29
C10orf10,0.07102165165717446,9.20436009430913e-29
AC017074.2,0.07114931415304761,7.348986456463146e-29
B4GALNT2,0.07135949291902757,5.068605093558001e-29
OXTR,0.0719062321779618,1.918574601306834e-29
TMEM176A,0.07201935412844145,1.567776830518264e-29
ALOX15B,0.07303490788041887,2.5226697303860824e-30
IGHG2,0.07366460608813624,8.023019080556376e-31
MXRA8,0.07383221527723166,5.90463788058665e-31
SCRG1,0.07428359711987154,2.5770757987952572e-31
PAX6,0.0743165819804697,2.4250991306810034e-31
RASD1,0.07450848017352901,1.7018535913138802e-31
CYP4F8,0.07537593550648901,3.394048297437164e-32
MMP1,0.07583647681139666,1.431155576412875e-32
CRYAB,0.07584200990344249,1.4163391011129346e-32
PLAUR,0.0758742844132088,1.3329009013486003e-32
IGHV3-15,0.07589342318895742,1.2857470500687893e-32
RP11-295M3.4,0.07650392753198516,4.0561860790805055e-33
GRN,0.07679194127275359,2.346148002676079e-33
NSMCE4A,0.0768227519939657,2.2124200085402694e-33
UGT2B28,0.07684418532665564,2.1238853505217956e-33
BPIFB1,0.07737305075312094,7.725371161374747e-34
IGHV2-70.1,0.07757614744992485,5.229404251283813e-34
NEAT1,0.07794914660006834,2.5471805393419715e-34
TPH1,0.0784292422531184,1.0040802476331474e-34
STC1,0.07849787375745626,8.785586409019046e-35
ANXA3,0.07864333066574511,6.617340235648999e-35
SERHL2,0.07873248928635947,5.560627744649493e-35
NPPC,0.07879843515645887,4.888564226157276e-35
SYNPO2,0.07884246611179356,4.485422788992316e-35
BMP2,0.07904872478376729,2.995243676089784e-35
MMP9,0.07912354673815222,2.586435366675757e-35
PLAT,0.07917150728358457,2.354067599812675e-35
CLDN1,0.08007368100639725,3.964313760824337e-36
SERPINA6,0.08082824612787393,8.797556570878461e-37
CAV3,0.08093819846366275,7.056342214036267e-37
GBP4,0.08122488467437113,3.9648479879155795e-37
ASPRV1,0.08127468583091144,3.586299643185422e-37
SFTA1P,0.0815991952255211,1.8621731935593782e-37
