gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
EBF1,2.8779578,3.9876893,0.004002587419507164,0.014932111887604332
SUSD5,2.877876,3.4477258,0.004003625354292149,0.01493411023198701
STXBP5,2.8768919,0.12402655,0.00401613217717549,0.01497888334470131
LINC01290,2.875123,2.070059,0.00403870117735343,0.01505928042466134
ZNF518A,2.8750489,-0.006799991,0.004039649496655651,0.015060927709600307
UNC5C,2.8746603,2.5028121,0.0040446233048458706,0.015075690701138558
KPNA1,2.871432,-0.12760645,0.004086167213228228,0.015228629951230248
GTF3C4,2.870867,-0.020035835,0.004093476259296155,0.015253957841540617
FBXO32,2.8695533,-0.019489678,0.004110521489319634,0.015313636817684585
GNL3L,2.8673856,0.1640878,0.004138783637212489,0.015416994974347148
TMPO,2.8671887,-0.08849074,0.004141358605414704,0.015424654317273629
TMEM203,2.866895,-0.16441453,0.004145207043881818,0.01543705423794315
MTFR2,2.865438,0.28651682,0.0041643298555064,0.01550438512318705
EXOSC1,2.8650033,-0.041513335,0.00417004862532538,0.015523733038287158
C6orf62,2.8643618,-0.07012901,0.004178505247390048,0.01555326696552933
FBXO3,2.8625188,-0.067485996,0.004202883583078865,0.015642050015732118
SH3RF1,2.8622658,-0.084729806,0.004206241010169888,0.015651258617213705
LANCL2,2.862253,0.035220478,0.004206410641716433,0.015651258617213705
UBQLN2,2.8620715,-0.062204745,0.0042088200794653495,0.01565826419203494
DBNDD1,2.8608189,-0.09185257,0.004225482756093246,0.015718288350671898
ARL16,2.8606784,0.013893254,0.004227356786657668,0.01572329238650143
DDX5,2.8603768,0.13032058,0.004231379978000092,0.01573628779060372
SAP30L,2.8601978,0.107530184,0.00423376825775632,0.015743200551259214
MOB3B,2.8601213,1.8851348,0.004234792180445845,0.015745038877228498
XPR1,2.8572404,-0.046452224,0.004273420624862205,0.01588647863005845
CTD-2540F13.2,2.8572047,1.6131212,0.0042739024841703666,0.01588647863005845
PSMC1,2.8553872,-0.015560531,0.004298438940911819,0.015973688917651684
ZFP91,2.8543851,0.0625902,0.004312021333556436,0.016022160748642027
HES6,2.8542037,-0.081718534,0.0043144855680890045,0.01602931393177438
ENTPD8,2.852849,0.6212085,0.004332920936591742,0.016095794378770897
COPS4,2.8514585,-0.15065636,0.004351917521176534,0.016162323714356965
LRRC4C,2.851116,0.9621841,0.00435660840167848,0.01617772419222009
PIGL,2.8502238,-0.055604495,0.004368847217765162,0.016221145645081366
FZD8,2.8491886,0.493334,0.004383088919178121,0.016271991863394068
ASH1L,2.8477266,-0.008918066,0.004403274815728686,0.016344890149320977
