signature,HR,CI_lo,CI_hi,p,sig,n
Stage 1 (DE top 30),0.9817398572553672,0.8547118607537131,1.127646861567905,0.7943410554694652,ns,1979
Stage 2 (Geneformer top 30),1.1784677102476122,0.862408401791199,1.6103578550623798,0.3026388891338962,ns,1979
Consensus (16 genes),1.0346108992725522,0.8580526355046736,1.2474988929600797,0.7215381870783993,ns,1979
