gene,brca_de_log2fc,brca_attn_score,gbm_de_log2fc
CD44,2.5359955,3.536707534968296,0.8162041
FN1,3.6000984,1.7418036842346192,0.58633226
VIM,5.687868,2.4287385064435294,0.80344754
